i_avg,i_city,i_thread,elapsed_time
0,1,2,0.000881402
0,1,10,0.00337294
0,1,18,0.00491037
0,1,26,0.00743118
0,1,34,0.00992738
0,1,42,0.0125357
0,1,50,0.01214
0,1,58,0.0135952
0,1,66,0.015605
0,1,74,0.0176668
0,1,82,0.0194251
0,1,90,0.0213566
0,1,98,0.0234519
0,1,106,0.0248786
0,1,114,0.0274577
0,1,122,0.0289883
0,1,130,0.0313219
0,1,138,0.0331934
0,1,146,0.0350158
0,1,154,0.0373147
0,1,162,0.0390655
0,1,170,0.0405592
0,1,178,0.0429719
0,1,186,0.0450037
0,1,194,0.0472206
0,1,202,0.0493746
0,1,210,0.0506163
0,1,218,0.0523156
0,1,226,0.0539569
0,1,234,0.0562007
0,1,242,0.0581406
0,1,250,0.0605954
0,2,2,0.000656051
0,2,10,0.00252715
0,2,18,0.00437092
0,2,26,0.00627674
0,2,34,0.00819872
0,2,42,0.0100548
0,2,50,0.0121777
0,2,58,0.0139463
0,2,66,0.0157435
0,2,74,0.0178495
0,2,82,0.0196078
0,2,90,0.0215903
0,2,98,0.023489
0,2,106,0.0255267
0,2,114,0.0277539
0,2,122,0.0292083
0,2,130,0.0311507
0,2,138,0.0334048
0,2,146,0.0353259
0,2,154,0.036774
0,2,162,0.0390161
0,2,170,0.0408568
0,2,178,0.0428973
0,2,186,0.0450007
0,2,194,0.0467495
0,2,202,0.0492452
0,2,210,0.0508664
0,2,218,0.0523438
0,2,226,0.0547225
0,2,234,0.0560637
0,2,242,0.058426
0,2,250,0.0603826
0,3,2,0.000644393
0,3,10,0.00249215
0,3,18,0.00448227
0,3,26,0.00637318
0,3,34,0.00828259
0,3,42,0.0101251
0,3,50,0.0122537
0,3,58,0.0143278
0,3,66,0.0161758
0,3,74,0.0178118
0,3,82,0.0198373
0,3,90,0.0218938
0,3,98,0.0235493
0,3,106,0.0256374
0,3,114,0.0277885
0,3,122,0.0298416
0,3,130,0.0314347
0,3,138,0.0335049
0,3,146,0.0352395
0,3,154,0.0371957
0,3,162,0.0393838
0,3,170,0.0410694
0,3,178,0.043318
0,3,186,0.0448432
0,3,194,0.0467218
0,3,202,0.0490657
0,3,210,0.0505762
0,3,218,0.0525886
0,3,226,0.0545551
0,3,234,0.0567786
0,3,242,0.0578912
0,3,250,0.0595868
0,4,2,0.000761965
0,4,10,0.00244427
0,4,18,0.00412044
0,4,26,0.00607024
0,4,34,0.00793881
0,4,42,0.0097537
0,4,50,0.0117484
0,4,58,0.0135403
0,4,66,0.0155738
0,4,74,0.0177567
0,4,82,0.0197654
0,4,90,0.0211094
0,4,98,0.0231516
0,4,106,0.0251234
0,4,114,0.0269532
0,4,122,0.0289984
0,4,130,0.0306604
0,4,138,0.0329678
0,4,146,0.0349627
0,4,154,0.0366225
0,4,162,0.0390153
0,4,170,0.0410018
0,4,178,0.042227
0,4,186,0.0446107
0,4,194,0.0462239
0,4,202,0.0482306
0,4,210,0.0619497
0,4,218,0.051865
0,4,226,0.0536668
0,4,234,0.055948
0,4,242,0.0576297
0,4,250,0.0601059
0,5,2,0.000975571
0,5,10,0.00244638
0,5,18,0.00434364
0,5,26,0.00626148
0,5,34,0.00817226
0,5,42,0.0101852
0,5,50,0.012175
0,5,58,0.0138522
0,5,66,0.0158079
0,5,74,0.0178225
0,5,82,0.0193615
0,5,90,0.0215458
0,5,98,0.0235147
0,5,106,0.0251623
0,5,114,0.0273654
0,5,122,0.0292322
0,5,130,0.0309053
0,5,138,0.0329586
0,5,146,0.0350834
0,5,154,0.0365651
0,5,162,0.0386298
0,5,170,0.0405702
0,5,178,0.0424053
0,5,186,0.0444563
0,5,194,0.046256
0,5,202,0.0483978
0,5,210,0.0498414
0,5,218,0.0521067
0,5,226,0.0536606
0,5,234,0.0555957
0,5,242,0.0581144
0,5,250,0.0595292
0,6,2,0.00116
0,6,10,0.00270805
0,6,18,0.00436836
0,6,26,0.00620297
0,6,34,0.00833235
0,6,42,0.0102042
0,6,50,0.0120995
0,6,58,0.013964
0,6,66,0.0159122
0,6,74,0.0176654
0,6,82,0.0193638
0,6,90,0.0216007
0,6,98,0.0234856
