i_avg,i_city,i_thread,elapsed_time,cutoff
0,13,1,32.2351,8
0,13,4,10.0687,8
0,13,8,5.33941,8
0,13,12,3.70163,8
0,13,16,2.7717,8
0,13,20,2.22202,8
0,13,24,1.833,8
0,13,28,1.61147,8
0,13,32,1.44959,8
0,13,36,1.21906,8
0,13,40,1.12295,8
0,13,44,1.02616,8
0,13,48,0.954905,8
0,13,52,0.882547,8
0,13,56,0.841121,8
0,13,60,0.785241,8
0,13,64,0.750388,8
0,13,68,0.737726,8
0,13,72,0.751532,8
0,13,76,0.68657,8
0,13,80,0.723267,8
0,13,84,0.651842,8
0,13,88,0.679134,8
0,13,92,0.635081,8
0,13,96,0.609341,8
0,13,100,0.612199,8
0,13,104,0.601372,8
0,13,108,0.582363,8
0,13,112,0.569695,8
0,13,116,0.555629,8
0,13,120,0.577051,8
0,13,124,0.546878,8
0,13,128,0.529423,8
0,13,132,0.524553,8
0,13,136,0.531252,8
0,13,140,0.544044,8
0,13,144,0.525788,8
0,13,148,0.570014,8
0,13,152,0.541765,8
0,13,156,0.518562,8
0,13,160,0.521198,8
0,13,164,0.53219,8
0,13,168,0.497414,8
0,13,172,0.553973,8
0,13,176,0.503913,8
0,13,180,0.504616,8
0,13,184,0.503547,8
0,13,188,0.517567,8
0,13,192,0.50709,8
0,13,196,0.557539,8
0,13,200,0.506143,8
0,13,204,0.547629,8
0,13,208,0.540629,8
0,13,212,0.498237,8
0,13,216,0.499236,8
0,13,220,0.481171,8
0,13,224,0.492745,8
0,13,228,0.481808,8
0,13,232,0.47696,8
0,13,236,0.477022,8
0,13,240,0.491245,8
0,13,244,0.479247,8
0,13,248,0.521665,8
0,13,252,0.476287,8
0,13,256,0.462355,8
