i_avg,i_city,i_thread,elapsed_time
0,1,1,0.000942955
0,1,2,0.0010238
0,1,4,0.00140369
0,1,6,0.00189417
0,1,8,0.00252227
0,1,10,0.0030929
0,1,12,0.00367556
0,2,1,0.000609021
0,2,2,0.00073839
0,2,4,0.00119205
0,2,6,0.00199042
0,2,8,0.00232385
0,2,10,0.00299971
0,2,12,0.00353044
0,3,1,0.00054836
0,3,2,0.000832077
0,3,4,0.00130989
0,3,6,0.00202965
0,3,8,0.00244799
0,3,10,0.00294506
0,3,12,0.00322892
0,4,1,0.000611647
0,4,2,0.000679965
0,4,4,0.000966068
0,4,6,0.00159534
0,4,8,0.00190281
0,4,10,0.00236665
0,4,12,0.00278635
0,5,1,0.000569589
0,5,2,0.000743392
0,5,4,0.000946714
0,5,6,0.00144389
0,5,8,0.00183246
0,5,10,0.00225503
0,5,12,0.00272393
0,6,1,0.0011191
0,6,2,0.00117057
0,6,4,0.0012561
0,6,6,0.00167922
0,6,8,0.00201764
0,6,10,0.00238971
0,6,12,0.00279299
0,7,1,0.00611812
0,7,2,0.00513375
0,7,4,0.00333217
0,7,6,0.00412985
0,7,8,0.00446858
0,7,10,0.00520622
0,7,12,0.00410204
0,8,1,0.046273
0,8,2,0.0316069
0,8,4,0.0213484
0,8,6,0.0418171
0,8,8,0.0375461
0,8,10,0.0348783
0,8,12,0.0277405
0,9,1,0.256788
0,9,2,0.179603
0,9,4,0.124977
0,9,6,0.168124
0,9,8,0.271402
0,9,10,0.238408
0,9,12,0.194627
0,10,1,2.35237
0,10,2,1.58034
0,10,4,1.05836
0,10,6,1.05757
0,10,8,2.54411
0,10,10,2.11675
0,10,12,1.80502
0,11,1,20.1457
0,11,2,13.298
0,11,4,8.62153
0,11,6,7.68634
0,11,8,17.8206
0,11,10,17.2595
0,11,12,15.4147
0,12,1,192.733
0,12,2,146.63
0,12,4,80.8838
0,12,6,72.0595
0,12,8,166.566
0,12,10,157.131
0,12,12,146.914
