i_avg,i_city,i_thread,elapsed_time
0,10,1,0.0700086
0,10,10,0.0201385
0,10,20,0.0201798
0,10,30,0.0205548
0,10,40,0.0212871
0,10,50,0.019484
0,10,60,0.0220678
0,10,70,0.0206529
0,10,80,0.0231099
0,10,90,0.022593
0,10,100,0.0257311
0,10,110,0.0419926
0,10,120,0.030305
0,10,130,0.0402423
0,10,140,0.0350332
0,10,150,0.037608
0,10,160,0.039954
0,10,170,0.0421343
0,10,180,0.045083
0,10,190,0.0593728
0,10,200,0.0569761
0,10,210,0.0625314
0,10,220,0.0554734
0,10,230,0.0658076
0,10,240,0.0591681
0,10,250,0.0621869
0,11,1,0.483811
0,11,10,0.0813899
0,11,20,0.0460965
0,11,30,0.0394976
0,11,40,0.0353662
0,11,50,0.0309144
0,11,60,0.0311887
0,11,70,0.031513
0,11,80,0.0321067
0,11,90,0.0328709
0,11,100,0.0332825
0,11,110,0.0343912
0,11,120,0.0322518
0,11,130,0.0355829
0,11,140,0.0383111
0,11,150,0.0773149
0,11,160,0.0421658
0,11,170,0.0450654
0,11,180,0.0484577
0,11,190,0.0513325
0,11,200,0.0529921
0,11,210,0.0556683
0,11,220,0.0574972
0,11,230,0.0599187
0,11,240,0.0630157
0,11,250,0.0653997
0,12,1,3.7321
0,12,10,0.49941
0,12,20,0.289203
0,12,30,0.188388
0,12,40,0.150552
0,12,50,0.124627
0,12,60,0.15101
0,12,70,0.100278
0,12,80,0.0977157
0,12,90,0.0948784
0,12,100,0.137567
0,12,110,0.0910402
0,12,120,0.0892225
0,12,130,0.0867513
0,12,140,0.0903453
0,12,150,0.0920836
0,12,160,0.0921083
0,12,170,0.0892751
0,12,180,0.138972
0,12,190,0.0909269
0,12,200,0.091259
0,12,210,0.09576
0,12,220,0.143079
0,12,230,0.0944762
0,12,240,0.0943146
0,12,250,0.101072
0,13,1,32.6311
0,13,10,4.07121
0,13,20,2.14149
0,13,30,1.55314
0,13,40,1.18074
0,13,50,0.969906
0,13,60,0.791764
0,13,70,0.699513
0,13,80,0.675003
0,13,90,0.664211
0,13,100,0.594237
0,13,110,0.557151
0,13,120,0.535081
0,13,130,0.509315
0,13,140,0.521972
0,13,150,0.50294
0,13,160,0.496659
0,13,170,0.502781
0,13,180,0.500903
0,13,190,0.490946
0,13,200,0.496849
0,13,210,0.486233
0,13,220,0.485062
0,13,230,0.474544
0,13,240,0.464054
0,13,250,0.461571
0,14,1,301.274
0,14,10,41.2378
0,14,20,20.1183
0,14,30,13.1489
0,14,40,10.0192
0,14,50,7.81759
0,14,60,6.53941
0,14,70,5.99602
0,14,80,5.67914
0,14,90,5.36982
0,14,100,5.0882
0,14,110,4.85921
0,14,120,5.1553
0,14,130,4.55806
0,14,140,4.49003
0,14,150,4.71533
0,14,160,4.51345
0,14,170,4.4149
0,14,180,4.40588
0,14,190,4.37732
0,14,200,4.35321
0,14,210,4.3407
0,14,220,4.25226
0,14,230,4.20933
0,14,240,4.1171
0,14,250,4.09941
